name:C1orf147,pagerank:0.15000000000000002,EntrezGeneId:574431
name:KLF12,pagerank:0.15000000000000002,EntrezGeneId:11278
name:AI732638,pagerank:0.15000000000000002,EntrezGeneId:NA
name:MKKS,EntrezGeneId:8195,pagerank:0.15000000000000002
name:ATRX,EntrezGeneId:546,pagerank:0.15000000000000002
name:CCDC130,pagerank:0.15000000000000002,EntrezGeneId:81576
name:EMP2,EntrezGeneId:2013,pagerank:0.15000000000000002
name:BX099811,pagerank:0.15000000000000002,EntrezGeneId:NA
name:AK057408,pagerank:0.15000000000000002,EntrezGeneId:NA
name:ZC3H13,pagerank:0.15000000000000002,EntrezGeneId:23091
name:AW291094,pagerank:0.15000000000000002,EntrezGeneId:NA
name:EFHC2,pagerank:0.15000000000000002,EntrezGeneId:80258
name:KLRC1,pagerank:0.15000000000000002,EntrezGeneId:3821
name:DKFZp762B162,pagerank:0.15000000000000002,EntrezGeneId:285830
name:CARTPT,pagerank:0.15000000000000002,EntrezGeneId:9607
name:SLC2A11,pagerank:0.15000000000000002,EntrezGeneId:66035
name:DNLZ,EntrezGeneId:728489,pagerank:0.15000000000000002
name:C4orf49,pagerank:0.15000000000000002,EntrezGeneId:84709
name:BC039327,pagerank:0.15000000000000002,EntrezGeneId:NA
name:VPS37B,pagerank:0.15000000000000002,EntrezGeneId:79720
name:DNAJB2,pagerank:0.15000000000000002,EntrezGeneId:3300
name:BX090227,pagerank:0.15000000000000002,EntrezGeneId:NA
name:DB334906,pagerank:0.15000000000000002,EntrezGeneId:NA
name:STK32C,pagerank:0.15000000000000002,EntrezGeneId:282974
name:MRPS21,pagerank:0.15000000000000002,EntrezGeneId:54460
name:CD207,pagerank:0.15000000000000002,EntrezGeneId:50489
name:KRT6A,pagerank:0.15000000000000002,EntrezGeneId:3853
name:CR748057,pagerank:0.15000000000000002,EntrezGeneId:NA
name:BQ019239,pagerank:0.15000000000000002,EntrezGeneId:NA
name:UNQ6118,pagerank:0.15000000000000002,EntrezGeneId:84818
name:OR1D5,pagerank:0.15000000000000002,EntrezGeneId:8386
name:HNRPA3,pagerank:0.15000000000000002,EntrezGeneId:10151
name:OOEP,EntrezGeneId:441161,pagerank:0.15000000000000002
name:TUBGCP3,pagerank:0.15000000000000002,EntrezGeneId:10426
name:FIBCD1,pagerank:0.15000000000000002,EntrezGeneId:84929
name:UQCRB,EntrezGeneId:7381,pagerank:0.15000000000000002
name:IQCF1,pagerank:0.15000000000000002,EntrezGeneId:132141
name:TMEM119,pagerank:0.15000000000000002,EntrezGeneId:338773
name:LOC400958,pagerank:0.15000000000000002,EntrezGeneId:NA
name:SOBP,EntrezGeneId:55084,pagerank:0.15000000000000002
name:KLK8,EntrezGeneId:11202,pagerank:0.15000000000000002
name:B3GNT7,pagerank:0.15000000000000002,EntrezGeneId:93010
name:BF228455,pagerank:0.15000000000000002,EntrezGeneId:NA
name:SPATA19,pagerank:0.15000000000000002,EntrezGeneId:219938
name:GPAM,EntrezGeneId:57678,pagerank:0.15000000000000002
name:CR747788,pagerank:0.15000000000000002,EntrezGeneId:NA
name:C9orf50,pagerank:0.15000000000000002,EntrezGeneId:375759
name:OR5H1,pagerank:0.15000000000000002,EntrezGeneId:26341
name:PRG2,EntrezGeneId:5553,pagerank:0.15000000000000002
name:C22orf31,pagerank:0.15000000000000002,EntrezGeneId:25770
name:RAB3GAP1,pagerank:0.15000000000000002,EntrezGeneId:22930
name:AI928472,pagerank:0.15000000000000002,EntrezGeneId:NA
name:SNORD35A,pagerank:0.15000000000000002,EntrezGeneId:23521
name:PFAS,EntrezGeneId:5198,pagerank:0.15000000000000002
name:DB009474,pagerank:0.15000000000000002,EntrezGeneId:NA
name:KRTAP6-1,pagerank:0.15000000000000002,EntrezGeneId:337966
name:AA861027,pagerank:0.15000000000000002,EntrezGeneId:NA
name:NUP153,pagerank:0.15000000000000002,EntrezGeneId:9972
name:CPA1,EntrezGeneId:1357,pagerank:0.15000000000000002
name:NCCRP1,pagerank:0.15000000000000002,EntrezGeneId:342897
name:SPP1,EntrezGeneId:6696,pagerank:0.15000000000000002
name:TMCC2,pagerank:0.15000000000000002,EntrezGeneId:9911
name:BX089571,pagerank:0.15000000000000002,EntrezGeneId:NA
name:FAF1,EntrezGeneId:11124,pagerank:0.15000000000000002
name:AA363307,pagerank:0.15000000000000002,EntrezGeneId:NA
name:GAD1,EntrezGeneId:2571,pagerank:0.15000000000000002
name:KIAA0649,pagerank:0.15000000000000002,EntrezGeneId:9858
name:MFSD2A,pagerank:0.15000000000000002,EntrezGeneId:84879
name:LASS1,pagerank:0.15000000000000002,EntrezGeneId:10715
name:FAM102A,pagerank:0.15000000000000002,EntrezGeneId:399665
name:OR2L13,pagerank:0.15000000000000002,EntrezGeneId:284521
name:KLK9,EntrezGeneId:284366,pagerank:0.15000000000000002
name:AI809699,pagerank:0.15000000000000002,EntrezGeneId:NA
name:GRIK2,pagerank:0.15000000000000002,EntrezGeneId:2898
name:LOC643749,pagerank:0.15000000000000002,EntrezGeneId:643749
name:LRFN3,pagerank:0.15000000000000002,EntrezGeneId:79414
name:FRRS1,pagerank:0.15000000000000002,EntrezGeneId:391059
name:TRIM11,pagerank:0.15000000000000002,EntrezGeneId:81559
name:LARP4,pagerank:0.15000000000000002,EntrezGeneId:113251
name:CAPG,EntrezGeneId:822,pagerank:0.15000000000000002
name:HEXDC,EntrezGeneId:284004,pagerank:0.15000000000000002
name:ATOH8,pagerank:0.15000000000000002,EntrezGeneId:84913
name:STIM2,pagerank:0.15000000000000002,EntrezGeneId:57620
name:AK022594,pagerank:0.15000000000000002,EntrezGeneId:NA
name:UBE2D1,pagerank:0.15000000000000002,EntrezGeneId:7321
name:POP1,EntrezGeneId:10940,pagerank:0.15000000000000002
name:GMPR,EntrezGeneId:2766,pagerank:0.15000000000000002
name:OPN1MW2,pagerank:0.15000000000000002,EntrezGeneId:728458
name:BM676565,pagerank:0.15000000000000002,EntrezGeneId:NA
name:TAS2R16,pagerank:0.15000000000000002,EntrezGeneId:50833
name:OR6C2,pagerank:0.15000000000000002,EntrezGeneId:341416
name:BX102396,pagerank:0.15000000000000002,EntrezGeneId:NA
name:EAF1,EntrezGeneId:85403,pagerank:0.15000000000000002
name:AL109700,pagerank:0.15000000000000002,EntrezGeneId:NA
name:KRT17,pagerank:0.15000000000000002,EntrezGeneId:3872
name:TTY13,pagerank:0.15000000000000002,EntrezGeneId:83868
name:LEP,EntrezGeneId:3952,pagerank:0.15000000000000002
name:ST6GALNAC1,pagerank:0.15000000000000002,EntrezGeneId:55808
name:AI215044,pagerank:0.15000000000000002,EntrezGeneId:NA
name:DKFZp434I1020,pagerank:0.15000000000000002,EntrezGeneId:196968
name:ZNF114,pagerank:0.15000000000000002,EntrezGeneId:163071
name:BQ010898,pagerank:0.15000000000000002,EntrezGeneId:NA
name:PELI2,pagerank:0.15000000000000002,EntrezGeneId:57161
name:ZNF180,pagerank:0.15000000000000002,EntrezGeneId:7733
name:DPEP3,pagerank:0.15000000000000002,EntrezGeneId:64180
name:STK40,pagerank:0.15000000000000002,EntrezGeneId:83931
name:BU728748,pagerank:0.15000000000000002,EntrezGeneId:NA
name:RPE65,pagerank:0.15000000000000002,EntrezGeneId:6121
name:LOC651337,pagerank:0.15000000000000002,EntrezGeneId:651337
name:SPOCK2,pagerank:0.15000000000000002,EntrezGeneId:9806
name:DBX2,EntrezGeneId:440097,pagerank:0.15000000000000002
name:MS4A7,pagerank:0.15000000000000002,EntrezGeneId:58475
name:BF512455,pagerank:0.15000000000000002,EntrezGeneId:NA
name:FAM90A8,pagerank:0.15000000000000002,EntrezGeneId:441324
name:SP110,pagerank:0.15000000000000002,EntrezGeneId:3431
name:LSM4,EntrezGeneId:25804,pagerank:0.15000000000000002
name:BMP15,pagerank:0.15000000000000002,EntrezGeneId:9210
name:AW292653,pagerank:0.15000000000000002,EntrezGeneId:NA
name:AW302137,pagerank:0.15000000000000002,EntrezGeneId:NA
name:ANUBL1,pagerank:0.15000000000000002,EntrezGeneId:93550
name:AI948714,pagerank:0.15000000000000002,EntrezGeneId:NA
name:BU193649,pagerank:0.15000000000000002,EntrezGeneId:NA
name:FAM81B,pagerank:0.15000000000000002,EntrezGeneId:153643
name:BX113703,pagerank:0.15000000000000002,EntrezGeneId:NA
name:CARD10,pagerank:0.15000000000000002,EntrezGeneId:29775
name:CA10,EntrezGeneId:56934,pagerank:0.15000000000000002
name:PIGT,EntrezGeneId:51604,pagerank:0.15000000000000002
name:ZNF687,pagerank:0.15000000000000002,EntrezGeneId:57592
name:FOLR1,pagerank:0.15000000000000002,EntrezGeneId:2348
name:ABI3,EntrezGeneId:51225,pagerank:0.15000000000000002
name:AW452740,pagerank:0.15000000000000002,EntrezGeneId:NA
name:LOC400965,pagerank:0.15000000000000002,EntrezGeneId:400965
name:GATC,EntrezGeneId:283459,pagerank:0.15000000000000002
name:HEY1,EntrezGeneId:23462,pagerank:0.15000000000000002
name:HNRNPA3,pagerank:0.15000000000000002,EntrezGeneId:220988
name:CRYZ,EntrezGeneId:1429,pagerank:0.15000000000000002
name:PIK3R3,pagerank:0.15000000000000002,EntrezGeneId:8503
name:CASP4,pagerank:0.15000000000000002,EntrezGeneId:837
name:B4GALNT3,pagerank:0.15000000000000002,EntrezGeneId:283358
name:P53TG1,pagerank:0.15000000000000002,EntrezGeneId:11257
name:AW299734,pagerank:0.15000000000000002,EntrezGeneId:NA
name:RBP3,EntrezGeneId:5949,pagerank:0.15000000000000002
name:DEFB106B,pagerank:0.15000000000000002,EntrezGeneId:503841
name:MRC1L1,pagerank:0.15000000000000002,EntrezGeneId:414308
name:ANP32B,pagerank:0.15000000000000002,EntrezGeneId:10541
name:FAM46D,pagerank:0.15000000000000002,EntrezGeneId:169966
name:LMO2,EntrezGeneId:4005,pagerank:0.15000000000000002
name:PLCXD1,pagerank:0.15000000000000002,EntrezGeneId:55344
name:KIAA0226,pagerank:0.15000000000000002,EntrezGeneId:9711
name:AA844212,pagerank:0.15000000000000002,EntrezGeneId:NA
name:LMAN2,pagerank:0.15000000000000002,EntrezGeneId:10960
name:COX6A1,pagerank:0.15000000000000002,EntrezGeneId:1337
name:RBP7,EntrezGeneId:116362,pagerank:0.15000000000000002
name:FRMD4B,pagerank:0.15000000000000002,EntrezGeneId:23150
name:PGBD5,pagerank:0.15000000000000002,EntrezGeneId:79605
name:YWHAQ,EntrezGeneId:10971,pagerank:0.15000000000000002
name:AL832378,pagerank:0.15000000000000002,EntrezGeneId:285556
name:FOXD3,pagerank:0.15000000000000002,EntrezGeneId:27022
name:KIF1C,pagerank:0.15000000000000002,EntrezGeneId:10749
name:ARHGAP25,pagerank:0.15000000000000002,EntrezGeneId:9938
name:MTDH,EntrezGeneId:92140,pagerank:0.15000000000000002
name:NUDT3,pagerank:0.15000000000000002,EntrezGeneId:11165
name:AW206568,pagerank:0.15000000000000002,EntrezGeneId:NA
name:CK300420,pagerank:0.15000000000000002,EntrezGeneId:NA
name:FBXL2,pagerank:0.15000000000000002,EntrezGeneId:25827
name:ACRC,EntrezGeneId:93953,pagerank:0.15000000000000002
name:BE045095,pagerank:0.15000000000000002,EntrezGeneId:NA
name:IGSF6,pagerank:0.15000000000000002,EntrezGeneId:10261
name:LOC644962,pagerank:0.15000000000000002,EntrezGeneId:644962
name:FAM169A,pagerank:0.15000000000000002,EntrezGeneId:26049
name:TMEM167A,pagerank:0.15000000000000002,EntrezGeneId:153339
name:ZRANB2,pagerank:0.15000000000000002,EntrezGeneId:9406
name:TRIM54,pagerank:0.15000000000000002,EntrezGeneId:57159
name:HOPX,EntrezGeneId:84525,pagerank:0.15000000000000002
name:BX104799,pagerank:0.15000000000000002,EntrezGeneId:NA
name:ZSWIM3,pagerank:0.15000000000000002,EntrezGeneId:140831
name:SDR16C5,pagerank:0.15000000000000002,EntrezGeneId:195814
name:AW827287,pagerank:0.15000000000000002,EntrezGeneId:NA
name:PEBP1,pagerank:0.15000000000000002,EntrezGeneId:5037
name:CCDC77,pagerank:0.15000000000000002,EntrezGeneId:84318
name:CHCHD4,pagerank:0.15000000000000002,EntrezGeneId:131474
name:AI584061,pagerank:0.15000000000000002,EntrezGeneId:NA
name:ARR3,EntrezGeneId:407,pagerank:0.15000000000000002
name:PPP6R2,pagerank:0.15000000000000002,EntrezGeneId:9701
name:CDHR5,pagerank:0.15000000000000002,EntrezGeneId:53841
name:BC068276,pagerank:0.15000000000000002,EntrezGeneId:NA
name:ARHGEF4,pagerank:0.15000000000000002,EntrezGeneId:50649
name:OR4S2,pagerank:0.15000000000000002,EntrezGeneId:219431
name:SUV420H1,pagerank:0.15000000000000002,EntrezGeneId:51111
name:P2RX6P,pagerank:0.15000000000000002,EntrezGeneId:440799
name:WDR17,pagerank:0.15000000000000002,EntrezGeneId:116966
name:VGLL2,pagerank:0.15000000000000002,EntrezGeneId:245806
name:GRPR,EntrezGeneId:2925,pagerank:0.15000000000000002
name:CD520639,pagerank:0.15000000000000002,EntrezGeneId:NA
name:RHCE,EntrezGeneId:6006,pagerank:0.15000000000000002
name:AW118757,pagerank:0.15000000000000002,EntrezGeneId:NA
name:NTRK3,pagerank:0.15000000000000002,EntrezGeneId:4916
name:LOC730441,pagerank:0.15000000000000002,EntrezGeneId:730441
name:RER1,EntrezGeneId:11079,pagerank:0.15000000000000002
name:AGPAT3,pagerank:0.15000000000000002,EntrezGeneId:56894
name:C11orf49,pagerank:0.15000000000000002,EntrezGeneId:79096
name:FCER1G,pagerank:0.15000000000000002,EntrezGeneId:2207
name:MUC15,pagerank:0.15000000000000002,EntrezGeneId:143662
name:EPHA7,pagerank:0.15000000000000002,EntrezGeneId:2045
name:PRSS55,pagerank:0.15000000000000002,EntrezGeneId:203074
name:PEG3,EntrezGeneId:5178,pagerank:0.15000000000000002
name:PDE6B,pagerank:0.15000000000000002,EntrezGeneId:5158
name:GPR173,pagerank:0.15000000000000002,EntrezGeneId:54328
name:C9orf25,pagerank:0.15000000000000002,EntrezGeneId:203259
name:MS4A5,pagerank:0.15000000000000002,EntrezGeneId:64232
name:FXYD1,pagerank:0.15000000000000002,EntrezGeneId:5348
name:KLHL17,pagerank:0.15000000000000002,EntrezGeneId:339451
name:AI732077,pagerank:0.15000000000000002,EntrezGeneId:NA
name:BE313630,pagerank:0.15000000000000002,EntrezGeneId:NA
name:AW084149,pagerank:0.15000000000000002,EntrezGeneId:NA
name:F11R,EntrezGeneId:50848,pagerank:0.15000000000000002
name:AA502803,pagerank:0.15000000000000002,EntrezGeneId:NA
name:LOC285194,pagerank:0.15000000000000002,EntrezGeneId:285194
name:SNX7,EntrezGeneId:51375,pagerank:0.15000000000000002
name:AF009312,pagerank:0.15000000000000002,EntrezGeneId:NA
